id,name,rname
wynnvp-1-12-2,VoicesOfWynn MC1.12.2 v1.01,VoicesOfWynn-1.01.jar
wynnvp-1-12-2-demo,VoicesOfWynn MC1.12.2 DEMO,VoicesOfWynn-Demo.jar
